,name,id
0,Dataset 4_150_150_RGB_image_0.png,32
1,Dataset 4_150_150_RGB_image_1.png,12
2,Dataset 4_150_150_RGB_image_2.png,11
3,Dataset 4_150_150_RGB_image_3.png,16
4,Dataset 4_150_150_RGB_image_4.png,16
5,Dataset 4_150_150_RGB_image_5.png,20
6,Dataset 4_150_150_RGB_image_6.png,12
7,Dataset 4_150_150_RGB_image_7.png,16
8,Dataset 4_150_150_RGB_image_8.png,12
9,Dataset 4_150_150_RGB_image_9.png,16
10,Dataset 4_150_150_RGB_image_10.png,0
11,Dataset 4_150_150_RGB_image_11.png,12
12,Dataset 4_150_150_RGB_image_12.png,14
13,Dataset 4_150_150_RGB_image_13.png,14
14,Dataset 4_150_150_RGB_image_14.png,14
15,Dataset 4_150_150_RGB_image_15.png,16
16,Dataset 4_150_150_RGB_image_16.png,45
17,Dataset 4_150_150_RGB_image_17.png,15
18,Dataset 4_150_150_RGB_image_18.png,52
19,Dataset 4_150_150_RGB_image_19.png,18
20,Dataset 4_150_150_RGB_image_20.png,66
21,Dataset 4_150_150_RGB_image_21.png,146
22,Dataset 4_150_150_RGB_image_22.png,0
23,Dataset 4_150_150_RGB_image_23.png,0
24,Dataset 4_150_150_RGB_image_24.png,25
25,Dataset 4_150_150_RGB_image_25.png,5
26,Dataset 4_150_150_RGB_image_26.png,0
27,Dataset 4_150_150_RGB_image_27.png,0
28,Dataset 4_150_150_RGB_image_28.png,0
29,Dataset 4_150_150_RGB_image_29.png,31
30,Dataset 4_150_150_RGB_image_30.png,15
31,Dataset 4_150_150_RGB_image_31.png,5
32,Dataset 4_150_150_RGB_image_32.png,0
