Name,ClassId
image_2023-01-07 10.56.18.581335.png,135
image_2023-01-07 10.58.30.451624.png,4
image_2023-01-07 10.58.33.222128.png,66
image_2023-01-07 11.00.02.793389.png,10
image_2023-01-07 11.00.08.491444.png,66
image_2023-01-07 11.01.22.626304.png,0
image_2023-01-07 11.01.25.153486.png,0
image_2023-01-07 11.01.27.938460.png,32
image_2023-01-07 11.01.47.003903.png,16
image_2023-01-07 11.01.59.698883.png,33
image_2023-01-07 11.02.57.962095.png,32
image_2023-01-07 11.03.32.784375.png,3
image_2023-01-07 11.03.35.380498.png,48
image_2023-01-07 11.04.16.930288.png,30
image_2023-01-07 11.04.51.690748.png,26
image_2023-01-07 11.05.27.419225.png,0
image_2023-01-07 11.05.30.827554.png,0
image_2023-01-07 11.05.35.403365.png,10
image_2023-01-07 11.06.22.865466.png,12
image_2023-01-07 11.06.44.741295.png,4
image_2023-01-07 11.06.46.825960.png,5
image_2023-01-07 11.06.50.148414.png,25
image_2023-01-07 11.06.56.603615.png,39
image_2023-01-07 11.08.14.420386.png,36
image_2023-01-07 11.08.50.698516.png,20
image_2023-01-07 11.09.12.131837.png,0
image_2023-01-07 11.09.16.193042.png,0
image_2023-01-07 11.09.18.361488.png,32
image_2023-01-07 11.09.31.404162.png,30
image_2023-01-07 11.09.58.333039.png,17
image_2023-01-07 11.10.09.751812.png,41
image_2023-01-07 11.11.11.955456.png,51
image_2023-01-07 11.12.16.635838.png,0
image_2023-01-07 11.12.19.258442.png,0
image_2023-01-07 11.12.21.715653.png,0
image_2023-01-07 11.12.24.542961.png,0
image_2023-01-07 11.12.26.910016.png,0
image_2023-01-07 11.12.29.378580.png,0
image_2023-01-07 11.12.31.602293.png,3
image_2023-01-07 11.12.37.588568.png,12
image_2023-01-07 11.12.44.346060.png,30
image_2023-01-07 11.12.59.828791.png,14
image_2023-01-07 11.13.14.588768.png,18
image_2023-01-07 11.13.22.890055.png,24
image_2023-01-07 11.14.01.937741.png,22
image_2023-01-07 11.15.36.524754.png,29
image_2023-01-07 11.15.59.065022.png,29
image_2023-01-07 11.18.46.948792.png,28
image_2023-01-07 11.19.21.658368.png,37
image_2023-01-07 11.20.23.213349.png,36
image_2023-01-07 11.21.15.761760.png,36
image_2023-01-07 11.21.57.612303.png,38
image_2023-01-07 11.22.40.978870.png,20
image_2023-01-07 11.23.07.810325.png,38
image_2023-01-07 11.23.54.211321.png,60
